Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO
4501,JUNZ,33.05,1.00,ETF,ETF,50.00,20.00,42.00,49.00,1927.00,1410.00,33.76,26.30,,No
4502,PBFB,30.63,977.00,ETF,ETF,50.00,44.00,52.00,50.00,2132.00,1320.00,30.63,25.67,,No
4503,PATH,14.34,32566958.00,Technology,Software - Infrastructure,50.00,4.00,11.00,70.00,23914932.00,28643910.00,19.84,9.38,7668310528.00,No
4504,RSSE,21.87,410610.00,ETF,ETF,50.00,53.00,57.00,48.00,7845.00,7130.00,21.94,18.13,,No
4505,FSGS,31.85,362.00,ETF,ETF,50.00,60.00,54.00,49.00,1895.00,870.00,31.95,24.39,,No
4506,PLUL,16.20,25685.00,ETF,ETF,50.00,,,,5133.00,5133.00,16.80,14.10,,No
4507,BCML,28.95,13367.00,Financial Services,Banks - Regional,50.00,4.00,65.00,49.00,18369.00,17860.00,33.15,22.22,316241824.00,No
4508,JMID,30.26,3943.00,ETF,ETF,50.00,61.00,46.00,39.00,8495.00,18650.00,30.63,22.17,,No
4509,VNQI,47.48,228567.00,ETF,ETF,50.00,29.00,29.00,43.00,246488.00,252970.00,48.54,37.52,,No
4510,CTO,18.45,163278.00,Real Estate,REIT - Diversified,50.00,65.00,85.00,52.00,274385.00,255760.00,20.88,15.07,607735808.00,No
4511,SR,83.54,247363.00,Utilities,Utilities - Regulated Gas,50.00,23.00,23.00,64.00,429508.00,380610.00,91.11,68.48,4936879104.00,No
4512,WOMN,41.72,3471.00,ETF,ETF,50.00,40.00,56.00,47.00,3685.00,2550.00,42.21,33.48,,No
4513,FDV,29.75,179262.00,ETF,ETF,50.00,61.00,57.00,47.00,178458.00,253350.00,29.80,24.39,,No
4514,LH,270.87,852098.00,Healthcare,Diagnostics & Research,50.00,70.00,17.00,64.00,847801.00,816380.00,293.72,209.38,22509295616.00,No
4515,SYZ,26.76,723.00,ETF,ETF,50.00,72.00,73.00,,4283.00,3450.00,26.96,23.39,,No
4516,AAUS,55.65,1403.00,ETF,ETF,50.00,44.00,54.00,,1254.00,3170.00,56.05,49.19,,No
4517,UOCT,39.33,5889.00,ETF,ETF,50.00,43.00,48.00,49.00,41795.00,12490.00,39.44,32.48,,No
4518,PKG,221.33,415255.00,Consumer Cyclical,Packaging & Containers,50.00,81.00,69.00,63.00,817029.00,767120.00,242.68,172.72,19915003904.00,No
4519,UJUN,37.54,3366.00,ETF,ETF,50.00,40.00,48.00,45.00,31722.00,2400.00,37.61,30.72,,No
4520,SEIQ,38.88,56332.00,ETF,ETF,50.00,26.00,49.00,46.00,46962.00,38240.00,41.13,30.97,,No
4521,TFNS,27.33,384.00,ETF,ETF,50.00,21.00,68.00,48.00,772.00,1460.00,28.36,24.45,,No
4522,VEXC,82.88,36441.00,ETF,ETF,50.00,77.00,65.00,,15050.00,28940.00,83.67,74.97,,No
